Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,4.878883256634527,30.10784929994292,-0.5051468111144547,0.002839189146639118,0,-0.00306517673945615,10.72603072,2951647.411,95.4585847257,1043.19876725,95.45858472568864,-4.263256414560601e-14,2.131628207280301e-14,-0.9034335157966615,0.01021357719431529,25.81929807078431,-16.034421786392,-5.521094184188162,-19.55583551711661,-0.9033594406058536,3.763627697650568e-15,-6.3589042012703,95.45858472568864,-4.263256414560601e-14,2.131628207280301e-14,-404.4236171909853,959.4255034809785,64.86839848420172,-66.21622780592421,-22.80007568145869,64.86839848420173,95.45858472568865,-3.733354821257648e-14,3.721332987189163e-14, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,328.08398950472,328.082149179,-1.590277340731758e-15,-4.770832022195275e-15,2.385416011097638e-15,1,-1.387778780781446e-17,-4.163336342344337e-17,2.081668171172169e-17,-0.3599375754985846,-0.1536642795263486,0.9182615256798355,-0.06023289299037358,-0.3599375754985846,-0.1536642795263486,0.9182615256798355,-0.06023289299037358,1.2794375709546e-14,-2.5588751419092e-14,47,47.191906515251,19,13469694.03475449,4637987.598729054,15276779.10222039,13469694.03475449,4637987.598729054,15276779.10222039,0,328.082149179,-3.2529904785555e-09,0.003,19.6969697,19.6969697,0.987840506,-2.70110979,18192778.6,-154.773591,-2.70110979,-2.70410979,0,1,-0.523,0,2.77555756e-17,8.32667268e-16,0.348,0,8.32667268e-16,2.08166817e-15,1.04083409e-15,0,0,0,-1,-1.38777878e-15,0,2.38559172e-15,-2.38559172e-15,0,-2.38559172e-15,-4.16285756e-17,-2.07107341e-19,2.75484683e-17,0,0,0,-100,-0.99009901,-0.115563525,-0.115563525,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,130,130,47.0000006628327682,18.9999985831331095,20888359.8388771266,0.00283918914663911816
0.1,3.423693172406723,2.322454122841677,-0.03327131173195044,65.50890942403264,13.63626878348524,-0.1055247488372901,3.426538052193465,2.322449192494291,-0.03633120358382338,10.71275613,2949823.613,95.3993306737,1043.18503766,95.3679104771003,-0.001097963466025267,2.44825305551381,-0.9245056170832797,0.06824040193016373,23.41563391959174,-12.029117302892,-4.328047191402115,-14.87949886265521,-0.7653876197337073,-0.1965628204252128,-12.62820704762465,95.3679104771003,-0.001097963466025267,2.44825305551381,-405.8272286850752,958.932824826324,63.14365143064065,-67.61301475209453,-23.28930684104563,63.14365143064067,95.37229589043883,-0.007827802013867596,2.270992802647409, 2095.734864,-10.78165491, 13.55483342,-10.78165491, 1505.011877, 3.979907734, 13.55483342, 3.979907734, 3150.439286,77.0807552,2479.999995,45.48951612386448,4.227419363540751,35.42701607968444,327.96547667682,327.96363701433,0.0938358821132592,0.1064900838008828,359.9983657985168,0.9999992328110813,0.0008188853573566223,0.0009292891680849549,-1.502206644493501e-05,-0.3606654916876122,-0.1539167432625888,0.9178747853109833,-0.06112215424449298,-0.360665268830326,-0.1539200898858108,0.9178742241155862,-0.06112346925120767,1.4705550691434,-0.00065942467541346,47.000026170551,47.191932674044,18.999999999121,13469653.51902198,4638083.515730102,15276785.49912864,13469687.34010223,4637985.293344316,15276785.49912864,0.00041780741322404,327.96363701433,6.5059809272637e-09,6.28615678,19.6969693,19.6969693,0.987844746,-2.70110995,18192787.2,-154.7736,-2.70110995,-2.70408143,0,1,-0.523,0,-0.0016377451,-0.0531884201,0.348,0,-0.0937498435,-0.234374609,-0.1830731,0,0,0,-1,0.771418671,0,360.024884,-360.024884,360,-0.0248837795,-0.000434221953,-1.54477321e-05,-0.00165319283,0,0,0,-100,-10.4124355,-1.21534306,1.05564974,0,0,0,-0,-0.0117229586,-0.00572783758,0.002,0.594790287,0.155686358,0.153186358,-0.20758181,-0.1545,0.307686358,0.153843179,0,0,0,0,163.545,0.297355,1.29952,29.8679,62.8203,1.9298e-05,-0.000843903,-0.0450194,32.0413,130,130,47.0000268320559158,18.999998583914671,20888359.6894328371,3.42653805219346497
0.2,10.0482468695922,3.145315116069729,-0.0557484499053278,57.21841170335367,0.9415701987285341,-0.4688047838301062,10.05110643845257,3.145277794950827,-0.05879439417950557,10.70977068,2949421.21,95.3855955902,1043.17026387,95.27540981756154,0.0419360601047214,4.583270836376364,-0.9190277230551015,1.062990508751973,19.41557771234512,-8.790579084546675,-3.04690374391529,-10.80516125156815,-0.4526722179479764,-0.2403274266232318,-17.98223599366553,95.27540981756154,0.0419360601047214,4.583270836376364,-406.8597525150371,958.5623733013659,61.86693539415527,-68.63872254910926,-23.65628706832146,61.86693539415532,95.30386200863234,-0.02087663739946048,3.947821741492771, 2095.734763,-10.78165483, 13.55483388,-10.78165483,  1505.01187,  3.97990852, 13.55483388,  3.97990852,  3150.43919,77.08075413,2479.99996,45.48951608881132,4.227419422566993,35.42701574495656,327.65009545162,327.64825755996,0.7055640508813305,0.3821831470080529,359.9961700305834,0.9999754816178743,0.006157246202180784,0.003334901936921848,-5.395717994086005e-05,-0.3620477450703625,-0.1557254372995668,0.9166596609304878,-0.06637834353256906,-0.362047261022222,-0.1557321216830898,0.916658525338319,-0.06638098362459675,2.7541187249605,0.025189959929959,47.000052317786,47.191958811341,18.999999992738,13469612.88199772,4638179.389408411,15276791.74627677,13469680.52484022,4637982.944982866,15276791.74627677,0.00083561482644808,327.64825755996,0,6.28611846,19.6969667,19.6969667,0.98785603,-2.70111012,18192795.8,-154.77361,-2.70111012,-2.70404327,0,1,-0.523,0,-0.0123144158,-0.174,0.348,0,-0.327837698,-0.819594244,-0.790888928,0,0,0,-1,3.23093218,0,360.022688,-360.022688,360,-0.0226878499,-0.00039590298,-3.4814338e-05,-0.0123492301,0,0,0,-100,-18.9380896,-2.21052009,1.73730165,0,0,0,-0,-0.0375775078,-0.0183603703,0.002,0.54967051,0.143876256,0.146376256,-0.191835008,-0.194335008,0.340711264,0.170355632,0,0,0,0,382.41,0.695292,1.29952,29.7142,60.6256,0.000216673,-0.00956407,-0.264287,67.1475,130,130,47.0000529758302363,18.9999985885956235,20888359.3470228873,10.0511064384525692
0.3,14.89077302715491,2.881850646654571,-0.1145178480801689,35.54002210546997,-5.774420575618921,-0.7145438454548573,14.89364906832506,2.881749257503956,-0.1175467770793757,10.71239443,2949795.048,95.3966381099,1043.19256039,95.18855539062787,0.2199531921799633,6.293576558803835,-0.7967420607930938,2.673208378395965,14.7367134818155,-6.432996871576622,-1.685734059471068,-7.604811508287469,-0.0905794194038515,-0.2422937985941486,-22.15129491449893,95.18855539062787,0.2199531921799633,6.293576558803835,-407.6115519709066,958.3255377020258,60.95657921679092,-69.38371062300665,-23.88963610088848,60.95657921679096,95.25774417310356,0.001031902520777034,5.145943708363426, 2095.734574,-10.78165467, 13.55483474,-10.78165467, 1505.011857, 3.979909969, 13.55483474, 3.979909969, 3150.439009,77.08075211,2479.999895,45.48951602299817,4.227419533390173,35.42701511649695,327.19196214527,327.19012682457,1.921556316957285,0.6928306323710598,359.9953286277379,0.9998411280088675,0.01676789633294139,0.006044517438881589,-0.0001421388565782839,-0.3628621465333315,-0.1594417356417689,0.9149084219686066,-0.07649820232971292,-0.3628613097610914,-0.1594517430583718,0.914906677912667,-0.07650217137388908,3.7827163743308,0.13210529236696,47.000078448013,47.191984932948,18.999999986959,13469572.15648942,4638275.232664651,15276797.88480551,13469673.62177551,4637980.566547297,15276797.88480551,0.0012534222396721,327.19012682457,3.2529904338181e-09,6.28610378,19.6969618,19.6969618,0.987872421,-2.70111028,18192804.5,-154.773619,-2.70111028,-2.70402875,0,1,-0.523,0,-0.0335374845,-0.174,0.348,0,-0.420019341,-1.05004835,-1.03083868,0,0,0,-1,5.85916727,0,360.021846,-360.021846,360,-0.021846385,-0.000381219419,-5.20317837e-05,-0.0335895163,0,0,0,-100,-26.6523948,-3.11108289,2.03486082,0,0,0,-0,-0.0631242433,-0.0308425053,-0.00188751118,0.467644777,0.12240602,0.12490602,-0.163208027,-0.165708027,0.290614047,0.145307024,0,0,0,0,576.746,1.04863,1.29952,29.4797,58.4386,-8.44346e-05,-0.0331163,-0.646997,100.878,130,130,47.0000791019743218,18.9999986053436238,20888358.8656286895,14.8936490683250611
0.4,17.64145796913515,2.264734178580456,-0.1875445978875213,15.99683620582172,-6.537465548020073,-0.7006320442354655,17.64434797484157,2.264548388835095,-0.1905561842870534,10.71744536,2950505.741,95.4183428368,1043.28251375,95.11662651690341,0.5684801659230638,7.560710288987607,-0.6269221973325482,4.386441183931455,10.56237365209464,-4.898472881451767,-0.3091227686734985,-5.332930228952705,0.2115674542012593,-0.2482258042359581,-25.13404296369661,95.11662651690341,0.5684801659230638,7.560710288987607,-408.1710369217382,958.2257411606164,60.31780082662362,-69.9363848296081,-23.98593609042327,60.31780082662362,95.23004093494021,0.08991161499263284,5.990940590612762, 2095.734301,-10.78165446, 13.55483597,-10.78165446, 1505.011838,  3.97991204, 13.55483597,  3.97991204, 3150.438748,77.0807492,2479.999802,45.48951592834216,4.227419692782003,35.4270142126127,326.63268871605,326.63085652432,3.536487198033127,0.9574455141743515,359.9933156349797,0.9994889110368635,0.03085618404560922,0.008349412604113376,-0.0003161165202872949,-0.3626972708530742,-0.164479442209714,0.9128801514315622,-0.08970525028336429,-0.3626959625324991,-0.1644927558463121,0.9128777525284621,-0.08971053993424247,4.5448190055441,0.34135687087528,47.00010456735,47.192011044599,19.000000002515,13469531.36610543,4638371.059078174,15276803.94666327,13469666.65451618,4637978.171618198,15276803.94666327,0.0016712296528962,326.63085652432,-3.2529904189213e-09,6.28606864,19.6969547,19.6969547,0.987892431,-2.70111044,18192813.1,-154.773628,-2.70111044,-2.70399378,0,1,-0.523,0,-0.0617233456,-0.174,0.348,0,-0.475031112,-1.18757778,-1.17732989,0,0,0,-1,8.2035243,0,360.019833,-360.019833,360,-0.019833244,-0.000346090108,-6.74100617e-05,-0.0617907556,0,0,0,-100,-33.6325636,-3.92605268,2.06488791,0,0,0,-0,-0.0831681458,-0.040635956,-0.0121477174,0.365303376,0.0956181586,0.0981181586,-0.127490878,-0.129990878,0.228109037,0.114054518,0,0,0,0,747.521,1.35913,1.29952,29.1823,56.2782,-0.00327421,-0.0736078,-1.17195,133.186,130,130,47.0001052175037657,18.9999986517635229,20888358.2851328216,17.644347974841569
0.5,18.55553113333625,1.610680059742868,-0.2486394863590942,-0.4592299233885053,-6.386407657393921,-0.4301023292721407,18.55843172371741,1.610400275004849,-0.2516335804450521,10.72322455,2951318.459,95.4431830704,1043.46234528,95.0622563906509,1.082526754126587,8.449659186196804,-0.4485153029238609,5.896879366169308,7.151061457454983,-3.996675163155246,1.029545070601906,-3.787987409813855,0.4445794441509395,-0.2628639763835157,-27.20112789692324,95.0622563906509,1.082526754126587,8.449659186196804,-408.6103365077886,958.2625061127893,59.86842490568173,-70.36887032765408,-23.94566730623061,59.86842490568171,95.21505560347208,0.2687900932226938,6.589547247848699, 2095.733952,-10.78165418, 13.55483754,-10.78165418, 1505.011814, 3.979914687, 13.55483754, 3.979914687, 3150.438414,77.08074547,2479.999682,45.48951580693002,4.227419897228662,35.4270130532301,326.00201844051,326.00018979032,5.350520945878216,1.158804350310115,359.9873020976207,0.9988589884066125,0.04667387197339104,0.01009611024276743,-0.0005826768367382682,-0.361659696689056,-0.1702155812152906,0.9106793987000367,-0.1043645173689812,-0.361657794033802,-0.1702321831342633,0.9106762954697252,-0.1043711105118862,5.0794170045363,0.64986877152629,47.000130680262,47.192037150484,19.000000071359,13469490.52630927,4638466.882375091,15276809.95470949,13469659.63852589,4637975.773922526,15276809.95470949,0.0020890370661202,326.00018979032,0,6.28596369,19.6969456,19.6969456,0.987914996,-2.70111061,18192821.7,-154.773638,-2.70111061,-2.70388899,0,1,-0.523,0,-0.0933842072,-0.174,0.348,0,-0.496963473,-1.24240868,-1.23991702,0,0,0,-1,10.1590914,0,360.013819,-360.013819,360,-0.0138192637,-0.000241146151,-7.8766985e-05,-0.0934629742,0,0,0,-100,-39.9484604,-4.66358246,1.92596479,0,0,0,-0,-0.097945693,-0.0478562656,-0.0197939158,0.254245763,0.0665488284,0.0690488284,-0.0887317711,-0.0912317711,0.160280599,0.0801402997,0,0,0,0,896.031,1.62915,1.29952,28.8368,54.1592,-0.0129613,-0.129589,-1.81824,164.041,130,130,47.0001313271309158,18.9999987564937562,20888357.6338977851,18.5584317237174119
0.6,17.97765560423927,1.005976220510503,-0.2733467558799381,-12.99369481894004,-5.331835712236173,0.06626687771983936,17.98056343730726,1.005601750646316,-0.2763234289597321,10.72904644,2952138.238,95.4681349441,1043.74456278,95.02585280857099,1.73281916068491,9.013846319242681,-0.2645564525099954,7.032729733107775,4.033091143243084,-3.303650392866754,2.401740238270262,-2.476499154102463,0.6304568504910606,-0.2877410566002107,-29.0069993754218,95.02585280857099,1.73281916068491,9.013846319242681,-408.9727602305787,958.434555923209,59.55833884124184,-70.72447270280816,-23.77010780556807,59.55833884124187,95.20907905307179,0.5505578813712713,7.006635540111208, 2095.733532,-10.78165385, 13.55483943,-10.78165385, 1505.011785, 3.979917863, 13.55483943, 3.979917863, 3150.438012,77.08074099,2479.999538,45.48951566092914,4.227420143080446,35.427011659046,325.32068972662,325.31886489956,7.192996794036506,1.296991496447847,359.9759388897538,0.9979664667992748,0.06272787797871643,0.01128268307424109,-0.0009195276535418744,-0.3599811824050333,-0.1760947047515749,0.908414086916097,-0.1191136010920822,-0.3599785765486629,-0.1761145774894043,0.9084102343902116,-0.119121476136119,5.4186798265585,1.0400190274033,47.000156789871,47.192063253533,19.000000232474,13469449.64652853,4638562.71605182,15276815.92488459,13469652.58323276,4637973.386957358,15276815.92488459,0.0025068444793442,325.31886489956,0,6.28576536,19.6969347,19.6969347,0.987939374,-2.70111077,18192830.3,-154.773647,-2.70111077,-2.70369082,0,1,-0.523,0,-0.125541477,-0.174,0.348,0,-0.491529551,-1.22882388,-1.23249612,0,0,0,-1,11.6741658,0,360.002455,-360.002455,360,-0.00245521877,-4.28435675e-05,-8.21692732e-05,-0.125623646,0,0,0,-100,-45.6633011,-5.33104396,1.67559158,0,0,0,-0,-0.107718351,-0.0526311861,-0.0249621246,0.144151477,0.037731649,0.040231649,-0.0503088653,-0.0528088653,0.0930405143,0.0465202571,0,0,0,0,1023.79,1.86143,1.29952,28.4556,52.0937,-0.0330159,-0.197375,-2.56571,193.431,130,130,47.0001574340927917,18.9999989553199136,20888356.9316138551,17.9805634373072643
0.7,16.2890663551547,0.5271639455339849,-0.2419375609877393,-22.02876686411506,-3.981607500861114,0.7092428723714861,16.29197854671184,0.5267007993062994,-0.2448974493911853,10.73468913,2952934.103,95.4922343494,1044.13120149,95.00505382895035,2.477788690520263,9.309518311674339,-0.1509747141453849,7.730583485910001,1.926400658132799,-3.073329516739545,3.534240799035817,-1.801840503505918,0.7204574080642218,-0.3217250374402366,-30.02041375664062,95.00505382895035,2.477788690520263,9.309518311674339,-409.2875267522884,958.7341765052009,59.35035952438451,-71.03240707097808,-23.46697234543024,59.35035952438449,95.20895173309172,0.9374321008858482,7.289962412390121, 2095.733048,-10.78165346,  13.5548416,-10.78165346, 1505.011751, 3.979921522,  13.5548416, 3.979921522, 3150.437548,77.08073582,2479.999371,45.48951549252007,4.227420426665534,35.42701005088268,324.60514705628,324.6033262455,8.930364734717758,1.380321512104403,359.9607830886692,0.9968921216543818,0.077851729417464,0.01198208409236783,-0.001278933516098738,-0.3579341619373578,-0.1816611418201958,0.9062097251949038,-0.1329146313727754,-0.3579307695200603,-0.1816842704103827,0.9062050884709748,-0.1329237666692341,5.5965302411847,1.4868514779123,47.000182898479,47.192089355894,19.000000528373,13469408.73334314,4638658.573553449,15276821.86978528,13469645.49521762,4637971.02416831,15276821.86978528,0.0029246518925683,324.6033262455,-6.5059807484893e-09,6.28550084,19.6969221,19.6969221,0.987964977,-2.70111092,18192839,-154.773656,-2.70111092,-2.70342646,0,1,-0.523,0,-0.155864268,-0.174,0.348,0,-0.465453782,-1.16363446,-1.17185162,0,0,0,-1,12.7467944,0,359.987298,-359.987298,360,0.0127016987,0.000221644643,-7.38796702e-05,-0.155938148,0,0,0,-100,-50.8342855,-5.93510356,1.35485886,0,0,0,-0,-0.113346699,-0.0553811971,-0.028017652,0.0423497261,0.0110850408,0.0135850408,-0.0147800544,-0.0172800544,0.0308650952,0.0154325476,0,0,0,0,1132.42,2.05895,1.29952,28.0489,50.0913,-0.0666422,-0.272164,-3.39515,221.349,130,130,47.0001835407389734,18.9999992879176034,20888356.1940172091,16.2919785467118317
0.8,13.83553915392413,0.1786138269742084,-0.1421633548723426,-27.62276641994626,-2.795069796108266,1.443515851200104,13.83845347548758,0.1780726185850173,-0.1451078627699028,10.74029119,2953724.874,95.516110907,1044.60911092,94.99232491236397,3.273736046630952,9.437600481457636,-0.1005790460586722,8.005679253914867,0.6795483872274097,-3.136892839668256,4.393522666433404,-1.582593798501094,0.7352318686570437,-0.3628669331940369,-30.45710267985491,94.99232491236397,3.273736046630952,9.437600481457636,-409.5960470375038,959.1331843311665,59.1845214956362,-71.33408242348455,-23.06444326097714,59.18452149563618,95.20937974776834,1.416247332224263,7.516361775882794, 2095.732506,-10.78165304, 13.55484404,-10.78165304, 1505.011714, 3.979925616, 13.55484404, 3.979925616, 3150.437028,77.08073003,2479.999185,45.48951530384815,4.227420744371339,35.42700824922651,323.86459062994,323.86277397158,10.46551989139227,1.421108321788209,359.9465929795823,0.9957552024109033,0.09120071362732633,0.01230700466845967,-0.001595099237685163,-0.3557908768421595,-0.1865619703115578,0.9041962432186172,-0.1450401218239143,-0.3557866460938151,-0.1865883442441432,0.9041908011086047,-0.1450504996341724,5.6737847399203,1.964150343672,47.000209006989,47.192115458388,19.000000998918,13469367.78922925,4638754.466214284,15276827.79636419,13469638.37695784,4637968.696890263,15276827.79636419,0.0033424593057923,323.86277397158,-3.2529903593531e-09,6.28525318,19.6969079,19.6969079,0.987991475,-2.70111108,18192847.6,-154.773665,-2.70111108,-2.70317895,0,1,-0.523,0,-0.18265778,-0.174,0.348,0,-0.424820415,-1.06205104,-1.07330297,0,0,0,-1,13.3959259,0,359.973107,-359.973107,360,0.0268928531,0.000469280286,-5.30980528e-05,-0.182710878,0,0,0,-100,-55.5131702,-6.48179292,1.03456886,0,0,0,-0,-0.115885215,-0.0566215161,-0.0294849393,-0.0459462641,-0.0160352462,-0.0135352462,0.0120264346,0.00952643463,-0.0230616808,-0.0115308404,0,0,0,0,1223.63,2.22478,1.29952,27.6252,48.1591,-0.115803,-0.350953,-4.28861,247.803,130,130,47.0002096479707774,18.9999997918267525,20888355.4298930131,13.8384534754875794
0.9,10.95288896414288,-0.06378228157729149,0.03299662949189166,-30.03796738794021,-1.93591623184226,2.216074614055922,10.95580374540008,-0.06438823522211713,0.03006521791084523,10.74612241,2954547.556,95.540968731,1045.16033094,94.98278531709917,4.079847933434307,9.471116107013401,-0.08349275251020383,7.900575296893615,0.0355752568403922,-3.324695175371641,5.008349228419918,-1.604777176682017,0.7068982800189595,-0.4089102594289762,-30.57209687169652,94.98278531709917,4.079847933434307,9.471116107013401,-409.9185067496613,959.6055329685468,59.02674208884309,-71.6496833308267,-22.58856575872134,59.02674208884309,95.2074246501756,1.968948847272148,7.72956906849162, 2095.731911,-10.78165257,  13.5548467,-10.78165257, 1505.011673, 3.979930102,  13.5548467, 3.979930102, 3150.436459,77.08072368,2479.99898,45.4895150969833,4.227421092712357,35.42700627384321,323.10230318457,323.10049080088,11.7357728537337,1.429938565312318,359.9402997123703,0.9946820268242652,0.1022334954687611,0.01235960135257708,-0.001793926257058085,-0.3537693206403233,-0.1905475611846227,0.9024968558466728,-0.1550429614240718,-0.3537642327898853,-0.1905771760808972,0.9024906026344919,-0.1550545701101583,5.6943699129919,2.4474230537387,47.000235115133,47.192141560715,19.000001677543,13469326.81366371,4638850.402646009,15276833.70695574,13469631.22793159,4637966.413735604,15276833.70695574,0.0037602667190164,323.10049080088,0,6.28514334,19.6968925,19.6968925,0.988018752,-2.70111123,18192856.3,-154.773673,-2.70111123,-2.70306926,0,1,-0.523,0,-0.204827877,-0.174,0.348,0,-0.375562153,-0.938905384,-0.95174511,0,0,0,-1,13.6678515,0,359.966813,-359.966813,360,0.0331865838,0.000579105888,-2.41179634e-05,-0.204851995,0,0,0,-100,-59.7467859,-6.97657107,0.752997998,0,0,0,-0,-0.116122937,-0.0567376669,-0.0297941358,-0.117549216,-0.0410246765,-0.0385246765,0.0307685074,0.0282685074,-0.0667931838,-0.0333965919,0,0,0,0,1299.12,2.36203,1.29952,27.1917,46.3025,-0.180958,-0.431902,-5.22965,272.814,129.999,129.999,47.0002357555198103,19.000000498803729,20888354.6423306204,10.9558037454000754
